tsne1,tsne2,tsne3,class
-39.12528,-343.69803,48.91841,CS
-44.401264,-357.51212,103.11771,CS
-25.940409,-384.2539,144.63187,CS
-217.24377,231.7691,8.910115,CS
234.83472,169.01068,130.60507,CS
294.8364,163.90648,168.99498,CS
10.870314,-248.33084,-46.895237,CS
263.5277,9.1214,153.50047,CS
-297.04874,-171.37094,231.61311,CS
90.482834,160.73805,138.05904,CS
-157.2588,77.09056,109.428635,CS
-115.18274,-239.17876,287.06317,CS
247.1753,203.60817,168.91469,CS
19.427036,-76.42557,110.38918,CS
48.51702,-376.54462,11.09647,CS
-210.67877,184.08116,23.754242,CS
-37.65245,303.24863,-68.64452,CS
-62.707672,425.06192,10.210235,CS
-54.925278,-53.096172,109.49234,CS
-64.20644,236.88754,4.8416495,CS
-60.395786,246.58739,-48.869328,CS
-56.32776,406.10568,-29.940228,CS
-305.5194,-92.852165,218.57545,CS
42.405445,192.84668,18.697693,CS
35.025314,169.69879,117.640884,CS
64.2997,181.74501,85.26371,CS
261.1817,117.04169,181.69057,CS
199.55241,199.51604,93.2292,CS
81.16679,95.69989,84.53672,CS
-68.97745,291.9257,1.8754307,CS
-52.131065,-312.74936,192.9058,CS
-50.11197,-182.93416,191.76288,CS
-154.96039,-218.91815,154.92911,CS
-92.720795,-153.72292,152.14304,CS
-88.697815,339.01324,-15.80883,CS
81.00137,-15.043772,144.90138,CS
-275.721,-167.71806,186.8683,CS
126.01987,333.99222,55.18134,CS
-35.896736,12.223146,191.93654,CS
38.670902,333.08765,2.0087514,CS
-108.64691,-112.02529,198.09355,CS
13.2167015,-49.250107,163.77806,CS
-44.76054,185.03693,0.41488826,CS
-13.879653,-167.26491,-100.46249,CS
81.417656,-287.57788,-37.675034,CS
102.818184,-274.87744,-77.175545,CS
69.75672,-70.5348,56.590942,CS
21.187113,-302.742,121.52113,CS
1.0175567,-328.2187,58.154507,CS
67.053444,-248.32867,16.396341,CS
-177.98929,-72.26349,255.26163,CS
42.356316,145.02975,-32.410076,CS
29.515455,-28.708906,214.84203,CS
137.92645,-292.7368,186.85103,CS
-71.563324,-42.041378,189.13626,CS
28.937634,-281.20148,166.7786,CS
