tsne1,tsne2,tsne3,class
41.237648,-5.529056,9.06689,CS
30.92008,19.596333,3.399284,CS
30.217434,-31.264292,-48.17392,CS
34.28569,-13.623356,-43.731995,CS
64.234505,-7.485879,-27.188608,CS
60.09568,-11.526056,-7.970054,CS
59.846012,-18.495007,-7.6777954,CS
55.15216,-7.3696322,-8.427907,CS
70.33272,-2.2418933,1.2090331,CS
69.28141,-9.219511,-1.7627101,CS
69.73017,-15.093477,0.6612147,CS
19.20086,-18.425695,-35.426968,CS
51.39259,-14.9320965,30.100185,CS
46.344555,-20.326757,33.926987,CS
55.107388,5.335397,12.212701,CS
41.413624,27.898981,-3.7267942,CS
49.4686,-28.924845,-44.283836,CS
46.93147,7.4081287,-33.55019,CS
39.019802,-6.967642,-22.848011,CS
75.63926,0.90334487,-29.896486,CS
57.0666,-17.22689,28.26983,CS
45.628834,6.5929437,-7.204445,CS
43.036736,47.85225,8.812903,CS
24.536322,-17.79282,-36.414867,CS
8.801316,-33.89525,-41.715466,CS
-19.556488,4.994404,-83.661316,CS
46.62194,-3.5071244,-9.622707,CS
-5.265716,-27.446474,-38.32924,CS
3.305359,-27.311584,-37.750816,CS
-10.998478,6.474189,-82.37251,CS
46.875874,-14.577383,-49.370525,CS
45.989975,-0.0014087193,-44.7562,CS
43.74711,1.5575029,-30.187801,CS
44.47104,0.27818155,-35.645893,CS
48.691814,-23.23221,26.835846,CS
30.761496,13.779123,-59.185493,CS
26.02221,12.959289,-49.304005,CS
-3.8856907,-29.96427,-44.02905,CS
77.69428,1.1474559,-20.002659,CS
64.73799,12.196658,-17.434258,CS
61.005245,-10.071392,-19.579372,CS
51.282352,-8.944188,-21.189276,CS
-2.7068264,-32.659153,-49.809063,CS
49.391243,18.465405,-15.342675,CS
46.021557,-23.886595,-45.075768,CS
65.15286,-5.0899644,-38.483402,CS
51.8338,16.665764,-33.81414,CS
31.578491,-10.258383,-51.978897,CS
51.027393,-0.9675917,-26.351732,CS
50.192566,6.5480843,-14.837153,CS
-3.7020504,-34.036907,-37.869545,CS
46.925575,47.89138,-5.3324986,CS
35.040504,39.30554,-2.0724301,CS
37.87343,43.819122,-4.8486557,CS
51.85366,-3.0887501,21.382263,CS
66.45549,7.1353183,-5.159212,CS
70.06178,-0.49721316,-4.0346365,CS
40.980217,35.403046,-1.4151431,CS
51.632973,-3.8739607,-35.785305,CS
42.111034,19.136803,-35.132885,CS
54.1264,7.033463,-21.021591,CS
66.98369,15.934341,5.6325307,CS
61.615578,-3.24306,-21.03183,CS
68.87738,12.320364,-7.7838883,CS
37.703953,-13.405394,-54.767902,CS
50.65755,27.39777,-3.8944318,CS
12.395703,15.063618,-40.8062,CS
41.01895,3.0002098,-18.265995,CS
63.083088,15.749372,2.0984356,CS
55.227467,16.089106,4.823872,CS
49.4462,17.469196,8.3348,CS
43.029884,9.02526,-22.111532,CS
8.878154,18.788363,-49.283577,CS
13.6710615,20.598383,-48.338684,CS
56.53512,6.9307175,-8.703763,CS
61.684044,16.966875,-22.018847,CS
62.030056,23.658304,-17.462446,CS
42.00566,7.660518,0.18423001,CS
46.561302,17.510363,-3.9696324,CS
44.84001,13.388817,4.1456466,CS
-12.379667,6.10397,-15.656844,KQ
-21.729214,15.942905,-19.014044,KQ
-16.77047,18.70596,-17.385708,KQ
-14.418974,13.766527,-22.19693,KQ
-18.814482,16.446077,-11.342854,KQ
-12.579691,8.1525545,-26.15333,KQ
-7.108286,15.853353,-12.561941,KQ
-43.71186,18.884642,-52.870316,KQ
-23.016493,23.170235,-18.660196,KQ
-20.657438,8.626992,-20.11257,KQ
-23.984655,12.501119,-13.462855,KQ
-24.235523,17.121948,-4.3677664,KQ
-15.662686,11.875285,-15.3016815,KQ
-11.301919,12.164077,-8.915716,KQ
-18.447823,6.5915227,-11.431835,KQ
-22.953732,20.125938,-25.89374,KQ
-15.112983,21.922674,-37.52024,KQ
-19.803719,24.99631,-25.498774,KQ
6.839525,-35.07868,43.914097,KQ
23.30883,-23.499693,40.140026,KQ
-1.0339029,-10.358058,45.480644,KQ
46.88936,-32.140877,9.900391,KQ
-17.995892,11.969776,36.10576,KQ
43.92917,-26.497885,8.805748,KQ
-5.832369,-19.878513,41.82511,KQ
-14.374138,-13.250976,47.00315,KQ
-12.017677,-9.5877,31.571888,KQ
3.365429,4.3160934,-41.605335,AR
-5.0017366,28.089386,59.590378,AR
9.13194,6.393295,-40.656063,AR
11.457473,-4.0955567,-31.63263,AR
34.689365,-17.698572,2.264126,AR
35.4928,-21.7419,7.504251,AR
-1.6398485,-4.358689,-53.800884,AR
3.9578772,-1.2605376,-47.221718,AR
4.205695,-9.52778,-74.97376,AR
30.649862,-32.503834,35.408306,AR
10.925223,-37.5729,-14.005941,AR
-20.34813,-27.986364,27.37842,AR
