,tsne1,tsne2,tsne3,class
147,-40.2605,30.781544,74.84997,CS
148,-56.132164,35.26398,101.849045,CS
149,-8.837826,26.074905,82.37145,CS
150,-7.189411,-12.283161,71.22981,CS
151,-15.58015,-21.471542,75.34388,CS
152,-6.3604054,3.2980855,57.607388,CS
153,-54.13806,-1.6936964,52.231678,CS
154,27.363266,-29.918379,83.54697,CS
155,3.056617,-15.377796,30.85249,CS
156,18.26657,-36.861065,80.359344,CS
157,-53.91142,-48.55462,53.37425,CS
158,-47.617813,97.23127,30.903713,CS
159,-35.13909,54.474842,64.587906,CS
160,-62.219,34.856358,64.59367,CS
161,-62.78818,-2.4309683,67.117455,CS
162,-71.202805,-4.215656,58.039898,CS
163,-51.96215,0.39876893,65.765915,CS
164,-66.93794,-8.07766,94.415,CS
165,-72.56016,-2.0101354,83.31859,CS
166,-82.86269,-3.9996984,78.78451,CS
167,28.60854,64.004326,59.427185,CS
168,-104.52682,-33.247982,73.56251,CS
169,-114.39308,-33.285275,61.897835,CS
170,-20.19755,-23.912952,60.10216,CS
171,-21.861713,-35.480537,44.51378,CS
172,-30.722704,102.38568,54.03737,CS
173,3.7753723,42.241257,79.733536,CS
174,-7.724798,44.714275,93.42684,CS
175,-54.753845,49.51284,106.82426,CS
176,-103.9953,-21.91631,71.86939,CS
177,-17.557138,-6.2531753,78.28729,CS
178,-59.415672,-24.687035,61.70344,CS
179,22.137272,56.82213,56.686584,CS
180,34.40401,44.767117,65.356636,CS
181,26.886967,126.68297,-27.015862,CS
182,-13.64123,3.0489259,67.11935,CS
183,46.001945,38.509167,72.87368,CS
184,35.940945,44.50219,45.621586,CS
185,36.914394,139.81259,-28.834654,CS
186,-40.032684,81.32504,71.97629,CS
187,-23.292427,65.54906,79.28893,CS
188,-10.124607,40.780815,81.62451,CS
189,-9.999328,50.735535,78.18965,CS
190,-50.5501,-8.655794,79.177666,CS
191,-72.7046,53.725674,45.257233,CS
192,11.94547,75.55463,72.012955,CS
193,43.911476,78.746,38.54528,CS
194,-58.870796,20.7307,106.596664,CS
195,-34.157124,20.866415,97.22607,CS
196,-63.625374,24.884169,74.99062,CS
197,-38.36271,9.0932255,70.75796,CS
198,40.260212,87.31291,45.591717,CS
199,-31.26475,1.4740459,97.136314,CS
200,-37.557682,93.57195,52.870148,CS
201,-39.06878,50.01665,93.912285,CS
202,-43.03351,30.929092,56.46683,CS
203,-45.568573,53.096424,77.418434,CS
204,-35.757248,5.2824006,85.74641,CS
205,-24.39433,17.961487,84.546715,CS
206,39.199577,28.88214,57.1937,CS
207,-44.630672,-47.19586,79.416756,CS
208,-28.527206,-22.280334,69.81085,CS
209,-40.241974,-42.141045,65.92118,CS
210,-84.43936,-37.240173,81.95723,CS
211,-50.86365,3.8085942,103.82626,CS
212,-59.247078,-2.117743,91.78942,CS
213,-33.095573,-33.91422,57.604633,CS
214,-20.593422,53.565926,90.028465,CS
215,-37.21587,23.785082,41.28459,CS
216,-29.461004,34.089424,89.566864,CS
217,-40.39517,-22.356848,121.55757,CS
218,-50.964405,24.865921,71.91649,CS
219,-45.774582,8.22259,112.950424,CS
220,-49.383934,65.96365,72.33895,CS
221,-14.755005,9.934014,91.57809,CS
222,26.997559,49.443703,91.89482,CS
223,-5.0737143,12.598442,88.86975,CS
224,-35.924515,-16.52018,115.260345,CS
225,-27.735283,-21.460464,103.87031,CS
226,-31.269657,-24.675026,91.83868,CS
227,4.852228,20.194227,93.69488,CS
228,20.296864,65.14512,100.00522,CS
229,14.273974,57.64987,100.008736,CS
230,-16.561754,17.225327,101.00987,CS
231,-7.542867,23.464582,123.70414,CS
232,-17.609049,15.9015875,124.866646,CS
233,-8.82081,-14.130388,84.41907,CS
234,-4.1834083,-13.984798,104.77132,CS
235,-18.447865,-20.621485,90.24129,CS
236,91.90727,93.89921,33.900032,BC
237,117.6302,-13.795321,38.382915,BC
238,95.75239,86.31956,23.246244,BC
239,91.88086,95.35604,20.692366,BC
240,98.0621,11.446115,47.163334,BC
241,91.11249,16.155134,41.849697,BC
242,98.628876,-39.257465,51.97226,BC
243,97.356514,-33.166294,36.062004,BC
244,79.24167,87.46213,22.27535,BC
245,98.97778,-3.236462,46.071564,BC
246,102.6117,-14.85082,44.761173,BC
247,105.369514,-16.847713,56.699013,BC
248,98.42968,-17.34224,24.227617,BC
249,102.716995,-6.7429075,26.639841,BC
250,-50.003666,-42.284626,25.74965,BC
251,-6.346928,-13.179287,-29.132341,BC
252,-53.223274,-26.014656,26.066622,BC
253,71.017075,20.328358,60.906273,BC
254,76.16935,99.76399,44.16039,BC
255,65.20547,-17.743729,64.08077,BC
256,79.128975,-20.550974,64.99745,BC
257,34.759766,-59.7679,-24.229145,BC
258,-33.35928,-44.877205,-76.470474,BC
259,-25.54294,-39.153248,-86.57157,BC
260,30.525772,-34.359016,-12.086081,BC
261,31.929083,-26.835789,-5.4980016,BC
262,19.322947,-24.066687,-13.436339,BC
263,-24.77831,26.91401,-25.447182,BC
264,-1.9487125,1.3068222,-15.103845,BC
265,-0.5752718,-8.081112,-22.365046,BC
266,61.805424,-41.95671,39.065998,KQ
267,65.89989,-16.987864,36.17667,KQ
268,73.04708,-21.633547,29.773003,KQ
269,73.87926,-27.837534,41.696346,KQ
270,66.047485,-27.122938,21.428564,KQ
271,76.074165,-27.31789,54.4719,KQ
272,63.41085,-50.964794,21.806124,KQ
273,-5.4335666,76.121056,37.81048,KQ
274,75.34311,-8.289253,32.599792,KQ
275,58.42671,-26.775455,42.2744,KQ
276,57.440998,-20.871288,28.146103,KQ
277,50.81985,-22.82004,14.564306,KQ
278,66.10486,-32.481224,32.51954,KQ
279,71.02036,-42.42832,25.391205,KQ
280,53.834675,-35.450256,29.34264,KQ
281,63.75996,-1.3579636,38.62287,KQ
282,-42.62076,-72.15418,109.42789,KQ
283,72.68559,-2.642259,45.698586,KQ
284,-86.182205,0.944975,-57.86934,KQ
285,-123.52549,-34.756657,22.646362,KQ
286,-41.878155,-33.113926,-88.53044,KQ
287,23.256847,-41.844845,-35.68799,KQ
288,17.668646,-36.627228,-22.037859,KQ
289,25.39154,-46.87963,-25.296438,KQ
290,-48.357826,-14.478816,-90.57757,KQ
291,-29.037142,-17.728748,-93.74523,KQ
292,-34.348106,-22.7357,-62.619396,KQ
293,18.88182,55.86566,-5.7166305,AR
294,12.761534,-77.05633,-58.832188,AR
295,10.081181,49.45977,-1.5775237,AR
296,17.79222,46.196884,16.215864,AR
297,45.181873,-28.942772,80.43117,AR
