,tsne1,tsne2,tsne3,class
149,-14.842557,6.169148,28.299002,CS
150,-21.677065,2.7765086,19.40358,CS
151,-22.753416,-4.9801984,19.635595,CS
152,-14.520597,-0.57251537,32.472275,CS
153,-20.20211,-4.8149757,41.61597,CS
154,-18.866356,-29.930767,17.457397,CS
155,-38.532017,14.96368,13.999521,CS
156,-22.679295,-32.35688,19.66008,CS
157,-25.737307,4.6391068,4.875092,CS
158,-2.5108454,36.084347,43.801224,CS
159,-4.537864,12.278941,48.45776,CS
160,-24.412449,5.068422,48.34321,CS
161,-24.895588,-4.4585867,36.5371,CS
162,-27.294561,-8.228543,37.68484,CS
163,-20.906185,-2.6904888,36.844196,CS
164,-46.8523,1.7704192,11.633236,CS
165,-50.98564,2.8739579,14.795088,CS
166,-54.357353,4.8031836,16.71231,CS
167,-9.924015,30.451883,33.536797,CS
168,-6.4510508,-20.035616,45.565266,CS
169,-1.695729,-23.499199,43.362988,CS
170,-23.272976,-12.499178,24.80525,CS
171,-26.842875,-6.531833,14.259231,CS
172,6.5779834,29.461658,44.850243,CS
173,-9.209567,11.209724,31.221352,CS
174,-12.738651,16.270214,35.777122,CS
175,17.145521,-5.8995733,37.13334,CS
176,-3.354409,-17.777702,44.351955,CS
177,-18.683775,-0.1532517,25.940954,CS
178,-29.756088,-20.953228,16.823048,CS
179,-12.974462,28.762888,34.53811,CS
180,-16.908,20.639597,33.386948,CS
181,9.913191,51.590134,27.012537,CS
182,-18.683916,-1.2281446,31.893652,CS
183,-17.310217,22.301044,28.370987,CS
184,-16.485533,30.832045,19.418982,CS
185,8.401987,57.838142,27.858187,CS
186,1.4725596,20.73337,49.149895,CS
187,-0.7349553,6.173511,42.059834,CS
188,-10.714697,12.0634365,35.92971,CS
189,-7.293491,13.410557,36.122215,CS
190,-22.95661,-17.834959,38.631683,CS
191,-9.288362,-18.321205,49.01333,CS
192,-6.518188,21.596865,30.549595,CS
193,-10.209511,31.011057,22.832994,CS
194,-31.561602,8.867174,39.724113,CS
195,-26.108452,7.788171,32.687813,CS
196,-19.834278,1.0248077,44.656372,CS
197,-16.305977,1.8652184,39.07347,CS
198,-9.707555,35.420097,23.674627,CS
199,-33.47489,5.1335115,25.905493,CS
200,2.3901148,28.719278,44.838333,CS
201,-12.339275,13.100627,49.301044,CS
202,-7.4445014,0.88730025,42.09122,CS
203,-8.556681,18.323645,45.553326,CS
204,-13.662307,7.3218436,38.097855,CS
205,-20.87797,4.495693,32.176807,CS
206,-11.079158,26.73566,23.023603,CS
207,-25.597494,-24.52193,23.644037,CS
208,-23.025608,-7.454402,24.83964,CS
209,-29.96458,-13.124654,13.432642,CS
210,-13.145164,-18.447592,38.614235,CS
211,-32.390213,2.6705208,35.080704,CS
212,-45.62587,0.15669154,14.675051,CS
213,-26.279058,-11.018239,16.814674,CS
214,-8.521653,9.425504,41.16226,CS
215,-0.84463364,1.3507563,39.714413,CS
216,-14.256529,13.987735,43.06176,CS
217,-34.57155,-4.0581346,31.477379,CS
218,-21.694141,5.128858,42.79957,CS
219,-36.047222,3.371927,33.272545,CS
220,-5.3217573,21.349188,48.3583,CS
221,-23.516815,5.144504,27.535524,CS
222,20.29798,21.343092,18.394417,CS
223,-20.674486,7.843516,27.006067,CS
224,-34.83636,-2.1975834,28.385561,CS
225,-31.653976,-3.143988,23.588583,CS
226,-29.413244,-1.649996,19.153135,CS
227,-20.25668,9.772894,22.322332,CS
228,19.733942,23.575346,25.375309,CS
229,23.134169,23.172543,24.674667,CS
