,tsne1,tsne2,tsne3,class
142,101.30339,-181.05157,349.58746,BA
143,-70.38322,-245.67883,352.76553,BA
144,0.3998625,-262.55432,178.24753,BA
145,-22.797396,-230.54597,113.90355,BA
146,7.6408606,-199.31584,135.69016,BA
147,277.82715,-199.58936,-22.638367,SV_SE
148,-219.0356,-146.95097,-91.43696,SV_SE
149,-198.66055,-188.9277,-119.14978,SV_SE
150,75.88059,-46.191784,-48.8917,SV_SE
151,56.00822,-99.637436,-46.664616,SV_SE
152,-197.98184,181.29942,-27.73148,SV_SE
153,117.651985,72.586975,37.09809,SV_SE
154,108.52421,390.84576,127.3066,SV_SE
155,-302.0647,102.6005,-231.29524,SV_SE
156,410.2984,12.001827,36.111195,SV_SE
157,-81.25237,200.59259,68.74345,SV_SE
158,-100.30511,-42.87426,163.17157,SV_SE
159,-21.622107,72.703705,86.55286,SV_SE
160,-51.98523,118.08383,86.22972,SV_SE
161,-116.000244,88.11069,80.4031,SV_SE
162,-94.66805,28.919317,52.177345,SV_SE
163,-129.26047,-9.72878,66.81302,SV_SE
164,-162.83565,36.277126,96.699265,SV_SE
165,124.72024,-97.9761,-160.27115,SV_SE
166,-134.90828,103.40995,147.47533,SV_SE
167,76.804955,-138.46199,-177.55847,SV_SE
168,60.143597,245.73119,96.05941,SV_SE
169,100.117905,191.45876,106.73958,SV_SE
170,129.23647,-66.87935,-55.650146,SV_SE
171,-249.06064,140.42352,-241.16013,SV_SE
172,48.630146,428.16095,139.44252,SV_SE
173,321.94586,-58.46945,137.19495,SV_SE
174,172.44029,-232.60748,-17.836666,SV_SE
175,-262.4469,-216.65414,26.135363,SV_SE
176,164.59874,-192.83263,-36.654545,SV_SE
177,-209.64952,11.962748,-242.46422,SV_SE
178,69.05872,314.7333,-212.42169,SV_SE
179,103.93948,342.71182,-182.03552,SV_SE
180,-77.171135,22.757788,-251.49052,SV_SE
181,-100.48882,-17.303385,-192.44232,SV_SE
182,-130.05746,40.826923,-189.04608,SV_SE
183,-94.315636,309.78564,119.36618,SV_SE
184,259.43344,291.10147,135.57881,SV_SE
185,166.88963,147.53293,-202.95345,SV_SE
186,79.828415,86.85437,-188.76936,SV_SE
187,220.19441,74.35618,-149.31395,SV_SE
188,127.40619,147.72958,-153.284,SV_SE
189,-105.28409,69.9164,-273.31982,SV_SE
190,126.92532,92.03744,-125.34602,SV_SE
191,326.17554,218.22733,59.379047,SV_SE
192,-126.18496,159.23576,229.96754,SV_SE
193,-256.92172,-117.86886,187.81645,SV_SE
194,-158.60533,221.50388,258.6846,SV_SE
195,-101.146454,-201.1549,41.476387,SV_SE
196,-64.40833,-234.19612,6.4593387,SV_SE
197,-48.952686,-199.6693,42.34745,SV_SE
198,217.98727,-320.0531,-67.23816,SV_SE
199,126.487724,-270.32166,-91.38559,SV_SE
200,-199.26389,-248.58362,-120.09393,SV_SE
201,-2.0066056,289.2759,-83.00549,SV_SE
202,111.20892,14.789354,-84.32999,SV_SE
203,143.68707,-9.111598,-114.52993,SV_SE
204,77.39122,-21.921457,-134.50475,SV_SE
205,-13.500757,332.14847,-34.200336,SV_SE
206,66.68997,-77.84308,-171.19237,SV_SE
207,255.5177,146.06125,-1.9786991,SV_SE
208,-106.38409,309.31674,-58.763306,SV_SE
209,-122.79994,350.36798,-70.91185,SV_SE
210,103.02573,214.24371,-275.03766,SV_SE
211,77.301445,-160.07195,-83.10505,SV_SE
212,215.92451,35.069435,135.70912,SV_SE
213,-196.3045,-327.82974,-11.525109,SV_SE
214,-213.36949,-313.71234,34.48872,SV_SE
215,-164.77628,-336.04147,29.459011,SV_SE
216,-83.67721,395.97067,-152.15323,SV_SE
217,-27.805494,-122.42729,-86.2796,SV_SE
218,-51.519485,354.96643,-104.39163,SV_SE
