tsne1,tsne2,tsne3,class
-4.715459,48.72625,-4.304501,BC_CS
7.208928,-5.1349297,52.84336,BC_CS
-27.134165,34.668804,25.251734,BC_CS
-33.008232,32.697514,19.602179,BC_CS
-21.371601,37.23166,22.402267,BC_CS
-26.723156,35.932003,34.808594,BC_CS
48.99041,39.336437,13.943009,BC_CS
7.033201,45.12226,30.547472,BC_CS
-27.844923,-47.81403,-24.902082,BC_CS
-19.29499,29.091581,44.223312,BC_CS
-28.220238,43.748764,25.329927,BC_CS
-30.21598,19.877464,22.575499,BC_CS
-15.612983,9.508834,20.69185,BC_CS
-18.278126,1.3955095,23.924133,BC_CS
-9.939326,20.34305,16.893309,BC_CS
-0.06974298,0.6446317,58.5564,BC_CS
23.102472,-56.125843,19.122189,BC_CS
-51.003708,14.481604,17.320084,BC_CS
17.136332,-59.20339,22.031853,BC_CS
-29.911253,2.0855196,10.545514,BC_CS
47.36877,35.03412,19.60101,BC_CS
14.185486,47.79733,35.00076,BC_CS
-35.36615,49.28982,15.890309,BC_CS
0.34359896,4.439754,46.430443,BC_CS
2.1318214,11.165634,50.548935,BC_CS
4.0421543,1.2298907,51.704777,BC_CS
-10.224948,-16.422123,42.01401,BC_CS
-8.654669,-12.89145,50.113186,BC_CS
-9.387222,-10.746424,57.217777,BC_CS
-8.913596,58.44661,0.9597873,BC_CS
11.487733,-19.563229,52.481697,BC_CS
20.833227,-17.938597,52.530903,BC_CS
-23.431196,-22.09659,55.061447,BC_CS
-32.7539,-11.487128,1.1450838,BC_CS
34.27969,42.573044,17.760141,BC_CS
-15.673225,49.612957,43.286747,BC_CS
-10.774733,49.465694,20.718052,BC_CS
-29.447899,47.265858,34.66229,BC_CS
13.644857,-12.136303,54.29674,BC_CS
-23.476429,13.209176,21.107105,BC_CS
-19.852877,-36.482834,40.52699,BC_CS
-11.450662,55.844524,7.1708536,BC_CS
-9.723651,43.87537,10.434874,BC_CS
25.137983,64.19665,-4.1966667,BC_CS
-13.337926,27.159338,15.446168,BC_CS
-5.151148,37.212128,6.7121687,BC_CS
-0.2825338,43.808018,12.717343,BC_CS
24.465864,62.748817,2.1600463,BC_CS
0.45916203,59.857563,19.068415,BC_CS
0.48213834,53.18047,34.18336,BC_CS
5.8800488,-29.909016,-53.442303,BC_CS
-10.577556,49.93046,32.635147,BC_CS
19.802994,-21.077757,60.907234,BC_CS
41.537094,23.152681,47.98985,BC_CS
1.5817966,32.785137,23.207083,BC_CS
-0.37747478,46.25667,4.408643,BC_CS
-15.371724,8.272671,51.057613,BC_CS
-22.02701,20.688824,38.359203,BC_CS
-16.478136,37.209625,30.162378,BC_CS
-11.2069845,27.348639,24.969723,BC_CS
1.7868649,53.711613,6.416376,BC_CS
-31.315666,10.662952,34.57764,BC_CS
40.31597,40.091583,20.288956,BC_CS
4.0962787,42.042316,38.727417,BC_CS
14.953804,35.77518,37.73606,BC_CS
7.12351,48.375343,24.249102,BC_CS
-11.84466,27.30154,34.31771,BC_CS
-21.072762,19.349129,28.362211,BC_CS
-13.821531,33.836338,6.372779,BC_CS
14.942409,-62.331867,31.82307,BC_CS
-23.689,-23.42307,47.228928,BC_CS
-30.29762,-22.40948,37.532043,BC_CS
-9.512683,-5.45655,27.855522,BC_CS
-18.137846,-3.2432072,47.455,BC_CS
-14.978413,-12.397644,42.879414,BC_CS
-32.939327,-20.430113,6.188097,BC_CS
-3.100831,43.339756,28.120632,BC_CS
8.622441,27.23134,39.790985,BC_CS
-2.4136739,34.83234,35.496414,BC_CS
-29.417765,-9.637399,47.07239,BC_CS
38.184227,-20.80885,262.0061,BC_CS
-24.093752,0.9482394,47.24837,BC_CS
7.231202,53.067047,17.061272,BC_CS
-19.796555,11.492641,30.815794,BC_CS
18.835964,26.207685,-6.974716,BC_CS
-24.790869,39.739777,10.477813,BC_CS
-30.17887,-6.3710194,41.58432,BC_CS
-27.160948,-10.456149,33.492085,BC_CS
-21.278055,-8.551821,27.594727,BC_CS
-34.792652,22.394253,33.750088,BC_CS
34.7655,51.62677,8.958305,BC_CS
41.078106,53.710888,8.187584,BC_CS
-14.216616,12.026185,35.92471,BC_CS
-32.153732,23.742811,49.649525,BC_CS
-48.035854,-2.4472823,27.355274,BC_CS
-24.66123,5.060876,21.151176,BC_CS
-23.14874,1.5983248,33.85707,BC_CS
-26.682575,-2.9701538,24.15569,BC_CS
6.1942863,68.3044,-21.527489,BC_CS
18.170277,-16.030012,-52.579987,BC_CS
8.363893,63.755276,-27.74614,BC_CS
11.735834,62.503017,-21.908731,BC_CS
19.544233,-6.64985,-48.63409,BC_CS
21.908209,-4.992471,-42.594223,BC_CS
33.44466,-17.688684,-57.160507,BC_CS
35.00894,-23.392382,-48.728874,BC_CS
5.529928,58.748974,-21.106718,BC_CS
25.12097,-10.185532,-53.098297,BC_CS
25.596119,-18.269054,-52.640835,BC_CS
23.42973,-25.982668,-53.50935,BC_CS
19.466822,-22.127228,-41.872814,BC_CS
24.927046,-16.8366,-43.890316,BC_CS
13.085394,-26.519033,-37.62917,BC_CS
18.060762,-24.492468,-24.161142,BC_CS
14.001611,-19.240555,-31.22128,BC_CS
26.447254,43.31983,-27.954954,BC_CS
1.5959644,65.88137,-13.897967,BC_CS
49.98702,1.6666546,-37.846832,BC_CS
46.196987,8.44981,-42.10796,BC_CS
46.619164,-48.180664,-15.371976,BC_CS
6.275324,0.6282536,15.05853,BC_CS
12.690579,-3.2762916,12.111363,BC_CS
34.13849,-39.05606,-26.79437,BC_CS
30.205585,-35.675728,-30.542192,BC_CS
26.222086,-45.735455,-28.83975,BC_CS
56.242134,6.1765614,-31.878105,BC_CS
22.4065,-11.66989,-20.558023,BC_CS
19.900337,-18.31846,-24.384474,BC_CS
43.872734,-7.1184087,-29.424189,KQ
34.877815,-8.0685,-41.215267,KQ
41.53573,-9.367927,-44.026905,KQ
41.002243,-1.9834185,-38.641502,KQ
37.95652,-16.428156,-40.81941,KQ
40.86933,6.662111,-36.884163,KQ
46.11379,-21.245415,-35.434807,KQ
12.509698,42.505234,-24.56441,KQ
34.30331,-7.947406,-48.801365,KQ
34.685486,-5.3736334,-33.31674,KQ
